mod1,mod2,mod3
Rpl7,Sema4c,Arl4c
Cox5b,Slc40a1,Prelp
Rpl31,Cavin2,4930523C07Rik
Rpl37a,Nrp2,Fmo1
Rpl12,Adam23,Atp1b1
Rpl35,Sp100,Degs1
Rps21,Cd55,Olfml2a
Rps3a1,Nav1,Creb3l1
Rab25,Rasal2,Cat
Rps27,Fcgr2b,Rhov
Rpl34,Mndal,Sec62
Rps20,Ifi203,Ankrd50
Rps8,Itpkb,Nbea
Rpl11,Mrc1,Mme
Rpl22,Notch1,Aldh1b1
Rpl9,Egfl7,Casz1
Rpl5,Eng,Camta1
Rplp0,Ptgs1,Pclo
Rpl21,Rbms1,Ugt2b35
Rpl32,Dpp4,Lrrc8c
Rps9,Calcrl,Mmd2
Rpl28,Tfpi,Cftr
Rps5,Slc43a3,Hilpda
Rps19,Gatm,Lrrn1
Rps16,Mertk,Cxcl12
Rps11,Bmp2,Ttyh1
Rpl13a,Serinc3,Nav2
Rpl18,Fabp4,Homer2
Rps17,Tnik,Rassf10
Rps3,Adgrl2,Spon1
Rpl27a,Adgrl4,Nupr1
Rps13,Klf4,Oat
Rps15a,Pakap.1,Kcnq1
Rplp2,Jak1,LTO1
Rpl18a,Plpp3,Ccnd1
Rpl13,Cyp4b1,Zfp703
Rps25,Macf1,Slc10a7
Rplp1,Ago3,Mt2
Eef1a1,Fam167b,Mt1
Rpsa,Hspg2,Fbxo31
Rpl14,Cd36,1700017B05Rik
Rps12,Cd38,Ss18l2
Rps15,Stim2,Pbld1
Naca,Klhl5,Meis1
Rpl41,Kit,Arhgap44
Rps26,Kdr,Rflnb
Rps27a,Ssh1,Fam110c
Rack1,Hip1,Gmnn
Rpl26,Lfng,Dcdc2a
Rpl23a,Cyth3,Slc28a3
Rpl23,Flt1,Sall2
Rpl19,Akr1b8,Cldn10
Rpl38,Gimap4,Sema5a
Rps7,Gimap6,Ncald
Rps29,Aqp1,Gpt
Rps23,Cyp26b1,Pmm1
Rpl15,Plxnd1,Adamts1
Rps24,Arhgdib,Cbs
Tpt1,Tgfb1,Rcan2
Rpl37,Fcgrt,Lbh
Rpl30,Rasip1,Fads2
Rpl3,Nr2f2,Hs6st2
Pfdn5,Tpbgl,
Rpl35a,Pde2a,
Rpl24,Chst15,
Rps10,Inpp5a,
Rpl10a,Ifitm2,
Rps28,Clec4g,
Rps18,Col4a1,
Rpl36,Arhgef7,
Rps14,Ushbp1,
Rpl17,Klf2,
Fau,Adgrl1,
Cox8a,Cdh5,
Rpl39,Maf,
Rpl10,Irf8,
Rps4x,Nrp1,
Rpl36a,Amotl1,
,Ets1,
,Esam,
,Hexa,
,Rab8b,
,Adam10,
,Atp1b3,
,Snrk,
,Myct1,
,Fyn,
,Oit3,
,Srgn,
,Adarb1,
,Arhgap45,
,Stab2,
,Elk3,
,Plxnc1,
,Ptprb,
,Gpr182,
,Tcn2,
,Sptbn1,
,Btnl9,
,Flt4,
,Arhgef15,
,Ssh2,
,Slfn5,
,Arhgap23,
,Ramp2,
,Dusp3,
,Cd300lg,
,Gosr2,
,Pecam1,
,Pitpnc1,
,Clec14a,
,Lgmn,
,Rapgef5,
,Mylip,
,Ctla2a,
,Ctsl,
,Mef2c,
,F2r,
,Il6st,
,Plpp1,
,Itga1,
,Dnase1l3,
,Il3ra,
,Fut11,
,Dennd6a,
,Stab1,
,Sh3bp5,
,Mmrn2,
,Rnase4,
,Fam124a,
,Dgkh,
,Pcdh17,
,Selenop,
,Dab2,
,Lifr,
,Myo10,
,Asap1,
,Ndrg1,
,Gpihbp1,
,Grasp,
,Tns2,
,Mfsd5,
,Cldn5,
,Mb21d2,
,Arhgap31,
,Pros1,
,Cyyr1,
,Qk,
,Gm34455,
,Adgrf5,
,Slc29a1,
,Ehd3,
,Rasgrp3,
,Epas1,
,Zeb1,
,Tcf4,
,Cdc42ep2,
,Cemip2,
,Lamp2,
,F8,
,Msn,
,Stard8,